id,link,content,date,retweets,favorites,mentions,hashtags,geo
233950678274428928,https://twitter.com/realDonaldTrump/status/233950678274428928,Newsmax article: 'Trump Declines Prime Time GOP Convention Speech'http://bit.ly/P7WdND,2012-08-10 17:39:22,21,9,,,
233953403309551617,https://twitter.com/realDonaldTrump/status/233953403309551617,"SUN newspaper/Scotland reports that ""Tourism jump is thanks to Trump."" 8,000 visitors in one month from 20 countries,,,http://bit.ly/NkkhLx",2012-08-10 17:50:12,34,7,,,
233956438706368512,https://twitter.com/realDonaldTrump/status/233956438706368512,. @ lolojones given a raw deal in @ nytimes story--not fair.,2012-08-10 18:02:16,65,14,@ @,,
233962360547704834,https://twitter.com/realDonaldTrump/status/233962360547704834,Our airports are Third World--horrible. Let's rebuild them by people who know how to do it--inexpensively.,2012-08-10 18:25:48,95,41,,,
233965158521778177,https://twitter.com/realDonaldTrump/status/233965158521778177,Watch my video blog to see if your questions from my Facebook page were answered- http://youtu.be/6s0-fcPPTLk?hd=1 …,2012-08-10 18:36:55,27,13,,,
233985215155023872,https://twitter.com/realDonaldTrump/status/233985215155023872,Congratulations to our great Women's Olympic Soccer team @ ussoccer on their gold medal. They made us all proud!,2012-08-10 19:56:37,107,32,@,,
233986915035136000,https://twitter.com/realDonaldTrump/status/233986915035136000,Sad--only 36% think America's best days are ahead while 49% believe they are in the past http://bit.ly/1xMIlN We can & must do better.,2012-08-10 20:03:22,140,35,,,
233993895049043968,https://twitter.com/realDonaldTrump/status/233993895049043968,Waste-- @ BarackObama's Dep. of Energy was warned in advance by Treasury that it wasn't loaning $ out in good dealshttp://bit.ly/O6Ep5o,2012-08-10 20:31:06,57,12,@,,
234002774113800192,https://twitter.com/realDonaldTrump/status/234002774113800192,RT @ IBDeditorials: Was Barack Obama A Foreign Exchange Student? http://bit.ly/Tlx2WW,2012-08-10 21:06:23,155,28,@,,
234011516188377088,https://twitter.com/realDonaldTrump/status/234011516188377088,Over 2 million people have lost their jobs since @ BarackObama became POTUS. How many of them still have healthcare?,2012-08-10 21:41:07,276,40,@,,
234017377052921857,https://twitter.com/realDonaldTrump/status/234017377052921857,"""Believe you can and you're halfway there."" --Pres. Theodore Roosevelt",2012-08-10 22:04:25,655,219,,,
234021216955031552,https://twitter.com/realDonaldTrump/status/234021216955031552,Monday morning 7:30 AM I'll be on @ foxandfriends. Tune in!,2012-08-10 22:19:40,38,11,@,,
235043112827895809,https://twitter.com/realDonaldTrump/status/235043112827895809,"My @ foxandfriends interview discussing Trump International in Scotland, why @ PaulRyanVP is a bold choice & 2012 race http://bit.ly/PQU5V3",2012-08-13 18:00:19,28,9,@ @,,
235044968828375040,https://twitter.com/realDonaldTrump/status/235044968828375040,Today @ BarackObama will borrow 40 cents on every dollar he spends from China. Just another day at the office.,2012-08-13 18:07:42,434,70,@,,
235071441987596288,https://twitter.com/realDonaldTrump/status/235071441987596288,The @ PaulRyanVP choice was a bold pick by @ MittRomney. Energizes the base and changes the trajectory of the race. # RomneyRyan2012,2012-08-13 19:52:53,90,18,@ @,#,
235072054423085056,https://twitter.com/realDonaldTrump/status/235072054423085056,"Jeffrey Robinson’s # TrumpTower has it all. The ultra rich, powerful, and beautiful. It’s your summer must-readhttp://amzn.to/NGZ2PQ",2012-08-13 19:55:19,34,18,,#,
235076716995940352,https://twitter.com/realDonaldTrump/status/235076716995940352,The Chicago machine is scared. @ PaulRyanVP shows that @ MittRomney will run on a conservative & coherent platform. 85 days until victory!,2012-08-13 20:13:51,182,40,@ @,,
235085111635345409,https://twitter.com/realDonaldTrump/status/235085111635345409,BIG - 10K greeted @ MittRomney & @ PaulRyanVP in Wisconsin homecoming last night http://bit.ly/MV6qax @ MittRomnney made a great move!,2012-08-13 20:47:12,41,13,@ @ @,,
235092384562692096,https://twitter.com/realDonaldTrump/status/235092384562692096,Amazing ad by # TeamRomney: America’s Comback Team featuring @ PaulRyanVP http://bit.ly/PQVv23,2012-08-13 21:16:06,80,18,@,#,
235093719412514816,https://twitter.com/realDonaldTrump/status/235093719412514816,Congratulations to Derek Jeter on tying Hank Aaron’s @ MLB double record on Saturday. Derek is one of the greatest @ Yankees ever.,2012-08-13 21:21:25,97,23,@ @,,
235098285734518784,https://twitter.com/realDonaldTrump/status/235098285734518784,Trump Chicago was featured in Transformers 3. Trump Tower was featured in Dark Knight Rises. Both are summer blockbusters. # MidasTouch,2012-08-13 21:39:33,202,173,,#,
235099886868115457,https://twitter.com/realDonaldTrump/status/235099886868115457,Trump National Golf Club LA & Trump International Scotland are open to the public. You can make reservations to play.,2012-08-13 21:45:55,33,11,,,
235105140334538753,https://twitter.com/realDonaldTrump/status/235105140334538753,Obama Care stole more then $500M from Medicare.,2012-08-13 22:06:48,303,34,,,
235106470012805122,https://twitter.com/realDonaldTrump/status/235106470012805122,Why would anyone let pervert @ RepWeiner use their house? He was always a bad guy- now he’s trying to make nice to everyone.,2012-08-13 22:12:05,118,78,@,,
235115252310749184,https://twitter.com/realDonaldTrump/status/235115252310749184,Glad to hear patriotic Americans are organizing a movement this August to boycott Chinese products http://www.cyrilhuzeblog.com/2011/08/02/dont-buy-any-chinese-products-from-august-1st-to-september-1st-2011-and-beyond%E2%80%A6/ … People get it!,2012-08-13 22:46:59,196,44,,,
235121646221004800,https://twitter.com/realDonaldTrump/status/235121646221004800,In four weeks the ‘All Star’ cast of @ ApprenticeNBC begins filming what will be another great season! Everyone is in for a treat.,2012-08-13 23:12:23,58,24,@,,
235121838181715969,https://twitter.com/realDonaldTrump/status/235121838181715969,“Borrowing and spending is not the way to prosperity.” -- @ PaulRyanVP,2012-08-13 23:13:09,320,38,@,,
235123241772015618,https://twitter.com/realDonaldTrump/status/235123241772015618,"In ’08, @ PaulRyanVP predicted that US headed toward bankruptcy http://bit.ly/MRVvOY @ BarackObama has added over $6T in debt since. Scary.",2012-08-13 23:18:43,208,33,@ @,,
235124033232990208,https://twitter.com/realDonaldTrump/status/235124033232990208,"Congratulations to our Olympic team for by far winning the most medals, including first place gold.",2012-08-13 23:21:52,142,33,,,
235126036180893696,https://twitter.com/realDonaldTrump/status/235126036180893696,Great going @ McllroyRory on winning yesterday’s PGA championship. Already two majors- amazing.,2012-08-13 23:29:50,38,10,@,,
235333520871014400,https://twitter.com/realDonaldTrump/status/235333520871014400,"Today is # TrumpTuesday on @ SquawkCNBC, 7:30 AM. Tune in!",2012-08-14 13:14:18,22,6,@,#,
235405607698583552,https://twitter.com/realDonaldTrump/status/235405607698583552,"My @ SquawkCNBC interview discussing @ MittRomney's pick of @ PaulRyanVP, how to frame Medicare debate & @ RNC conventionhttp://bit.ly/PhHIqC",2012-08-14 18:00:45,20,2,@ @ @ @,,
235406656677244929,https://twitter.com/realDonaldTrump/status/235406656677244929,"Via @ CNNPolitics: ""Trump will have 'memorable' role at GOP convention"" http://bit.ly/O8G4EI It's true, just wait and see...",2012-08-14 18:04:55,40,6,@,,
235412464722931713,https://twitter.com/realDonaldTrump/status/235412464722931713,"Via @DC_Decoder: ""Donald Trump to 'surprise' GOP convention. What might he do?"" http://bit.ly/PhQ2qa Answer: Something major!",2012-08-14 18:28:00,55,6,@DC_Decoder,,
235436323832487936,https://twitter.com/realDonaldTrump/status/235436323832487936,Now is the time to buy a house if you can DIRECTLY from a bank. They want to get rid of all their foreclosures.,2012-08-14 20:02:48,235,51,,,
235437864345825281,https://twitter.com/realDonaldTrump/status/235437864345825281,Today I am working on my 'big surprise' for the @ RNC convention. Everyone will love it.,2012-08-14 20:08:55,155,41,@,,
235448259211059200,https://twitter.com/realDonaldTrump/status/235448259211059200,Glad to hear @ GovChristie will be delivering the Keynote for the @ RNC convention. He will deliver a strong message.,2012-08-14 20:50:14,71,9,@ @,,
